datetime,discharge_cfps
5/26/1956,65
5/27/1956,69
5/28/1956,69
5/29/1956,68
5/30/1956,65
5/31/1956,66
6/1/1956,66
6/2/1956,67
6/3/1956,67
6/4/1956,67
6/5/1956,66
6/6/1956,64
6/7/1956,62
6/8/1956,60
6/9/1956,60
6/10/1956,63
6/11/1956,66
6/12/1956,66
6/13/1956,66
6/14/1956,64
6/15/1956,62
6/16/1956,63
6/17/1956,65
6/18/1956,65
6/19/1956,66
6/20/1956,66
6/21/1956,66
6/22/1956,64
6/23/1956,65
6/24/1956,64
6/25/1956,64
6/26/1956,62
6/27/1956,60
6/28/1956,60
6/29/1956,59
6/30/1956,54
7/1/1956,59
7/2/1956,59
7/3/1956,58
7/4/1956,59
7/5/1956,57
7/6/1956,54
7/7/1956,59
7/8/1956,59
7/9/1956,56
7/10/1956,54
7/11/1956,55
7/12/1956,54
7/13/1956,54
7/14/1956,54
7/15/1956,55
7/16/1956,54
7/17/1956,51
7/18/1956,51
7/19/1956,55
7/20/1956,52
7/21/1956,57
7/22/1956,58
7/23/1956,51
7/24/1956,51
7/25/1956,51
7/26/1956,51
7/27/1956,48
7/28/1956,57
7/29/1956,55
7/30/1956,53
7/31/1956,50
8/1/1956,55
8/2/1956,58
8/3/1956,55
8/4/1956,52
8/5/1956,52
8/6/1956,54
8/7/1956,53
8/8/1956,52
8/9/1956,50
8/10/1956,52
8/11/1956,54
8/12/1956,53
8/13/1956,51
8/14/1956,49
8/15/1956,46
8/16/1956,46
8/17/1956,52
8/18/1956,54
8/19/1956,53
8/20/1956,54
8/21/1956,54
8/22/1956,53
8/23/1956,60
8/24/1956,55
8/25/1956,54
8/26/1956,54
8/27/1956,59
8/28/1956,57
8/29/1956,57
8/30/1956,56
8/31/1956,56
9/1/1956,57
9/2/1956,60
9/3/1956,60
9/4/1956,60
9/5/1956,59
9/6/1956,62
9/7/1956,59
9/8/1956,62
9/9/1956,63
9/10/1956,62
9/11/1956,62
9/12/1956,62
9/13/1956,60
9/14/1956,59
9/15/1956,59
9/16/1956,59
9/17/1956,59
9/18/1956,58
9/19/1956,56
9/20/1956,56
9/21/1956,56
9/22/1956,58
9/23/1956,60
9/24/1956,60
9/25/1956,58
9/26/1956,55
9/27/1956,50
9/28/1956,60
9/29/1956,62
9/30/1956,61
10/1/1956,60
10/2/1956,60
10/3/1956,59
10/4/1956,59
10/5/1956,60
10/6/1956,60
10/7/1956,64
10/8/1956,68
10/9/1956,64
10/10/1956,65
10/11/1956,67
10/12/1956,65
10/13/1956,64
10/14/1956,64
10/15/1956,62
10/16/1956,64
10/17/1956,59
10/18/1956,62
10/19/1956,63
10/20/1956,64
10/21/1956,65
10/22/1956,66
10/23/1956,68
10/24/1956,69
10/25/1956,69
10/26/1956,69
10/27/1956,69
10/28/1956,69
10/29/1956,69
10/30/1956,69
10/31/1956,67
11/1/1956,66
11/2/1956,68
11/3/1956,69
11/4/1956,69
11/5/1956,72
11/6/1956,72
